Sentence,Presidential_Candidate,State
"And I just think that Kamala Harris wants to make sure she gets every single one of those, like votes.",Kamala Harris,Arizona
And I think that's a good kind of target demo for her to kind of squeeze out a couple more votes as we're looking at a really close race.,Kamala Harris,Arizona
"How is her being on the campaign trail with Kamala going to going to confer some some huge benefit to the Harris campaign, what would you say to that: yeah, I get that.",Kamala Harris,Arizona
"Like if she can, as many of those voters, she can pull over huge plus for Kamala.",Kamala Harris,Arizona
"And then the other thing I just want to observe today, there is another criticism, which you didn't ask, but I'm going to ask it and knock it down myself, which is progressive folks are like, should she be campaigning with Liz: like people don't like a lot of the Republican like conservative policies that Liz has pushed.",Kamala Harris,Arizona
"On stage today, like Liz almost sounded like Kamala is kind of bringing out Liz's inter-liberal.",Kamala Harris,Arizona
"And so I just, again, like I said, to me, Kamala seems to be really on from an issue standpoint, talking about all of the issues that she was already talking about that she, and she's really appealing to this demo just thematically and through a commitment to rule of law and the constitution and character.",Kamala Harris,Arizona
"And so I, it's not like she's sacrificing anything, you know, on her left flank to kind of bring these people in.",Kamala Harris,Arizona
"Having these people, you know, basically start the conversation with Democrats like Kamala Harris will give a permission structure for a lot of these Republican voters out there to know that it is okay to like kind of like as a gateway to, it is okay to vote for Democrats and the policies that Democrats are espoused are not going to lead to the end of the world.",Kamala Harris,Arizona
"And so when you, when you break that, like, you know, if, if, if Kamala and Liz Cheney being together can get some people to break out of that mindset, it does, you know, create an openness to rethinking certain issues and being more open to like the progressive point of view on certain issues.",Kamala Harris,Arizona
"But even back to her CNN interview opportunistic economy, she still hasn't explained that like what is that: chris Bird came into the debate leaning towards Harris but still has questions about what her economic plan actually is.",Kamala Harris,Arizona
Anthony Dewitt still feels like Trump is significantly stronger on economic policy.,Donald Trump,Arizona
"Trump boasting that his three Supreme Court justice picks helped overturn Roe v Wade, giving states the decision on how to handle abortion access, something that panelists Melissa Narves, who is expecting her third child, feels strongly against.",Donald Trump,Arizona
"Um, there's nothing there's nothing new other than you know, he's shifted his stance now.",Donald Trump,Arizona
"Harris meantime stating if Congress brought forward a national bill on abortion access, she would quote, proudly sign it into law.",Kamala Harris,Arizona
His statements causing tension to erupt.,Kamala Harris,Arizona
What's her plan: i know what he did.,Donald Trump,Arizona
"He talks great game, but he really doesn't carry through.",Donald Trump,Arizona
"So immigration, Erin, has been kind of a liability for Vice President Kamala Harris as she's running for president now.",Kamala Harris,Arizona
"I think she has a really good answer on this, which is they tried to get something done politically that would have actually solved the problem.",Kamala Harris,Arizona
But I think she's at least kind of fighting to a draw.,Kamala Harris,Arizona
"And it seems like from the presidential politics perspective, Trump just wants to keep talking about it, to keep it alive as an issue.",Donald Trump,Arizona
"Matt, safe to say Republicans will find something to talk about on immigration, even if Harris is at the border.",Kamala Harris,Arizona
"Oh, there's no doubt, i think it's a mistake for Harris to be out here going to the border.",Kamala Harris,Arizona
I think every minute she spends talking about illegal immigration and border security is a lost opportunity for her because the record that the Biden and Harris administration have on this issue is so abysmal.,Kamala Harris,Arizona
I think they want to feel like Harris cares about this issue.,Kamala Harris,Arizona
"We see that polling again and again and again, i think she tries to check the box and kind of get over that and neutralize it a little bit.",Kamala Harris,Arizona
"Some of the polling numbers on the economy, she's come way back.",Kamala Harris,Arizona
"It's been really interesting to see, she's kind of got that to an even.",Kamala Harris,Arizona
And most people don't like Donald Trump's personality.,Donald Trump,Arizona
"They feel like he's kind of a crazy, weird guy.",Donald Trump,Arizona
She's showing that she cares about it.,Kamala Harris,Arizona
"I do think, I mean, this is I just laugh because was it politically craven when Trump was at the border last week, you know what I mean: like everyone's trying to do the same thing.",Donald Trump,Arizona
"The reality of the situation is I think she's trying to get it to closer to neutral, to your point, and then give people permission to vote for her.",Kamala Harris,Arizona
We've seen polls that show Vice President Harris up by a couple.,Kamala Harris,Arizona
There was a poll out today that said he's up five.,Donald Trump,Arizona
"I don't know whether that's accurate, but I do suspect he is up by a few.",Donald Trump,Arizona
"And I think that is bolstered by looking at the other polls and seeing where he has made up ground against the Democrats, particularly among Hispanic voters and Hispanic men.",Donald Trump,Arizona
"Aaron, do you agree, if you had to be one of these candidates in Arizona right now, is it better to be Trump: just to be clear, I couldn't spend a minute inside the skin of Donald Trump.",Donald Trump,Arizona
That's not who Donald Trump is.,Donald Trump,Arizona
"By the way, he's also really old.",Kamala Harris,Arizona
And I think Harris has a chance.,Kamala Harris,Arizona
"Harris has actually been running from an economic perspective, a much more conservative campaign than Biden was.",Kamala Harris,Arizona
She's not talking about wealth taxes and all those other things.,Kamala Harris,Arizona
She's talking about a tax cut for 100 million Americans.,Kamala Harris,Arizona
"She's talking about, I think there was a whole thing on starting small businesses and tax credits.",Kamala Harris,Arizona
"She's actually playing more of that centrist economic music right now than Joe Biden was, for whatever reason.",Kamala Harris,Arizona
But I think she definitely has a chance.,Kamala Harris,Arizona
"If Trump wins Arizona by a handful of points, it seems hard to believe that he would outperform Kerry Lake by that much.",Donald Trump,Arizona
"But man, people seem to have really made up their minds about her.",Kamala Harris,Arizona
"And she has just bled a lot of support among the old McCain voters, of which there are many.",Kamala Harris,Arizona
"And so that is really hurting her, and Ruben Gallego has run a smart campaign.",Kamala Harris,Arizona
"And he is outspending her and outraising her about three plus to one, so that's a huge problem if you're Kerry Lake.",Kamala Harris,Arizona
"Aaron, do you agree with Matt's assessment that the race for Senate seems to be at least at this point Gallegos to lose: yeah, for sure.",Donald Trump,Arizona
But he made that incredible quote of saying our job is to call balls and strikes.,Donald Trump,Arizona
I think 2016 because Arpaio lost when Trump won.,Donald Trump,Arizona
"All right, Aaron, we got about 45 seconds left.",Donald Trump,Arizona
"Now they all traversed through Mexico to get to our back door, but law enforcement down here, say Vice President Kamala Harris, was virtually hands off on the issue and really downplayed the crisis.",Kamala Harris,Arizona
They've kept detention at a minimum.,Kamala Harris,Arizona
They have leaned heavily on parole programs as legal pathways and they've provided millions of federal funding to volunteer groups.,Kamala Harris,Arizona
"Now Marnie, you heard from Sheriff Daniels there who has been extending the invitation to Vice President Harris for three and a half years.",Kamala Harris,Arizona
"But Kamala Harris is debuting a new ad today talking about border security, talking about that she's going to enforce the law.",Kamala Harris,Arizona
"She's going to secure the border, different things like that.",Kamala Harris,Arizona
Now she's also expected to talk about fighting the flow of fentanyl and getting additional screening machines for the ports of entry and things like that to double down on preventing that deadly drug from getting into the nation.,Kamala Harris,Arizona
It is an argument that is full of hate and division He insults Latinos scapegoats immigrants and it's not just what he says it's what he will do if Elected you can be sure he will bring back family separation policies Only on a much greater scale than last time and it is time then to turn the page on Donald Trump So five days out and it all comes down to this we are here together and you all have taken time out of all the demands on your life and Your busy schedules you have taken the time to be here Because I know we all love our country.,Donald Trump,Arizona
"So let's approach it that way Let's approach it that way, we will be the stronger for it and Always remember your vote is your voice and your voice is your power So Arizona today I ask you are you ready to make your voices heard, do we believe in freedom Do we believe in opportunity Do we believe in the promise of America, a proven leader a champion for all of Arizona and please send him to the United States Senate Though it's so good to be back in Arizona and Phoenix are we ready to do this, are we ready to vote: oh It's good to be back and to be with so many incredible leaders, I love you back I Want to thank Governor Hobbs Senator Kelly Gabby Giffords Mayors Diego Romero and Giles ambassador Jeff Blake I am so grateful to all of you for your support And to all the tribal leaders the elected leaders community leaders here today And let's hear it again for those tigres del Norte Okay work to do so Arizona tomorrow Friday November for by the way happy Halloween So tomorrow Friday November 1st is the last day to vote early in person and If you are voting by mail and still have your ballot Please take it to any drop box in your county or any voting location by 7 p.m. On Tuesday November 5th, and you can go to I will vote comm to get all the information you need and to all the leaders here Please help spread the word on that Okay, and we need you to vote Arizona because we have five days left In one of the most Consequential elections of our lifetime and we have work to do, but we like hard work Hard work is good work Hard work is joyful work and make no mistake we will win And We will win because we know That it's very clear to all of us here when you know what you stand for you know what to fight for And we love our country and we love our country and we know in this election We have an opportunity to turn the page on a decade of Donald Trump trying to keep us divided and afraid of each other.",Donald Trump,Arizona
He will ban abortion nationwide He will restrict access to birth control put IVF treatments at risk and force States to monitor women's pregnancies and you don't have to take my word for it.,Donald Trump,Arizona
It's what he will do if Elected you can be sure he will bring back family separation policies Only on a much greater scale than last time and it is time then to turn the page on Donald Trump So five days out and it all comes down to this we are here together and you all have taken time out of all the demands on your life and your busy schedules you have taken the time to be Here because I know we all love our country.,Donald Trump,Arizona
"I Want to thank Governor Hobbs Senator Kelly Gabby Giffords Mayors guy a go Romero and Giles ambassador Jeff Blake I am so grateful to all of you for your support and To all the tribal leaders the elected leaders community leaders here today And let's hear it again for those tigres damn North a Okay, okay work to do so Arizona tomorrow Friday November for by the way happy Halloween So tomorrow Friday November 1st is the last day to vote early in person And if you are voting by mail and still have your ballot, please take it to any dropbox in your county or any voting location by 7 p.m. On Tuesday November 5th and You can go to I will vote comm to get all the information you need and to all the leaders here Please help spread the word on that And we need you to vote Arizona because we have five days left In one of the most Consequential elections of our lifetime and we have work to do But we like hard work Hard work is good work hard work is joyful work And make no mistake we will win And We will win because we know That it's very clear to all of us here when you know what you stand for you know what to fight for And We love our country and we love our country and we know in this election We have an opportunity to turn the page on a decade of Donald Trump trying to keep us divided and afraid of each other.",Donald Trump,Arizona
"We're done with that, we're exhausted with that And we know and we know that's who he is but Phoenix that is not who we are And it is time for a new generation of leadership in America And I am ready to offer that leadership as the next president of the United States And Arizona many of you know me I'm not afraid of tough fights For Decades I was a prosecutor I was the top law enforcement officer of the biggest state in our country and I have won fights I won fights against the big banks that ripped off homeowners Against for-profit colleges that scammed veterans and students against predators who abused women and children And we are fighting for democracy And that's all right, that's all right Democracy can be complicated, but we believe in democracy and the right of everyone To have their voices heard It's all right and I have fought for many who have harmed other human beings I fought against the cartels that trafficked in guns drugs in human beings And it is my pledge to you that if you give me the chance to fight on your behalf as President there is nothing in the world that will stand in my way And look we all know who Donald Trump is this is not Because here's the thing we all know he is not someone who is thinking about how to make your life better This is someone who is unstable obsessed with revenge consumed with grievance and out for unchecked power and In less than 90 days it will either be him or me in the Oval Office And I thank you, I thank you and here's the thing because we're really clear and we can all picture it We can picture the Oval Office, right: and if he is elected on day one Donald Trump would walk into that office with an enemies list on Day one when I am elected.",Donald Trump,Arizona
It's what he will do if Elected you can be sure he will bring back family separation policies Only on a much greater scale than last time and it is time then to turn the page on Donald Trump So five days out and it all comes down to this we are Here together and you all have taken time out of all the demands on your life and your busy schedules You have taken the time to be here Because I know we all love our country.,Donald Trump,Arizona
"I Want to thank Governor Hobbs Senator Kelly Gabby Giffords Mayors Diego Romero and Giles Ambassador Jeff Lake I am so grateful to all of you for your support and To all the tribal leaders the elected leaders community leaders here today And let's hear it again for those tigres del Norte Okay work to do so Arizona tomorrow Friday November for by the way happy Halloween So tomorrow Friday November 1st is the last day to vote early in person and If you are voting by mail and still have your ballot Please take it to any drop box in your county or any voting location by 7 p.m. On Tuesday November 5th, and you can go to I will vote comm to get all the information you need and to all the leaders here Please help spread the word on that Okay, and we need you to vote Arizona because we have five days left In one of the most Consequential elections of our lifetime and we have work to do but we like hard work Hard work Hard work is good work Hard work is joyful work and make no mistake we will win And We will win because we know That it's very clear to all of us here when you know what you stand for you know what to fight for And we love our country and we love our country and we know in this election We have an opportunity to turn the page on a decade of Donald Trump trying to keep us divided and afraid of each other.",Donald Trump,Arizona
"We're done with that, we're exhausted with that And we know and we know that's who he is but Phoenix that is not who we are And it is time for a new generation of leadership in America And I am ready to offer that leadership as the next president of the United States And Arizona many of you know me I'm not afraid of tough fights For decades I was a prosecutor I was the top law enforcement officer of the biggest state in our country and I have won fights I won fights against the big banks that ripped off homeowners Against for-profit colleges that scammed veterans and students Against predators who abused women and children And we are fighting for democracy And that's all right, that's all right Democracy can be complicated, but we believe in democracy and the right of everyone It's all right and I have fought For many who have harmed other human beings I fought against the cartels that trafficked in guns drugs in human beings and it is my pledge to you That if you give me the chance to fight on your behalf as president There is nothing in the world that will stand in my way And look we all know who Donald Trump is this is not Because here's the thing we all know he is not someone who is thinking about how to make your life better This is someone who is unstable obsessed with revenge consumed with grievance and out for unchecked power and In less than 90 days it will either be him or me in the Oval Office Yes, we're gonna get this done And And I thank you I thank you and here's the thing because we're really clear and we can all picture it We can picture the Oval Office, right: and if he is elected on day one Donald Trump would walk into that office with an enemies list on Day one when I am elected.",Donald Trump,Arizona
It is an argument that is full of hate and division He insults Latinos scapegoats immigrants and it's not just what he says it's what he will do if Elected you can be sure he will bring back family separation policies Only on a much greater scale than last time and it is time then to turn the page on Donald Trump We are done So five days out and it all comes down to this we are here Together and you all have taken time out of all the demands on your life and your busy schedules You have taken the time to be here because I know we all love our country We love our country.,Donald Trump,Arizona
"So let's approach it that way Let's approach it that way, we will be the stronger for it And Always remember your vote is your voice and your voice is your power So Arizona today I ask you are you ready to make your voices heard, do we believe in freedom Do we believe in opportunity Do we believe in the promise of America: proven leader a champion for all of Arizona and please send him to the United States Senate So it's so good to be back in Arizona and Phoenix are we ready to do this Oh It's good to be back and to be with so many incredible leaders, I love you back I Want to thank Governor Hobbs Senator Kelly Gabby Giffords Mayors Diego Romero and Giles Ambassador Jeff Blake I am so grateful to all of you for your support and To all the tribal leaders the elected leaders community leaders here today And let's hear it again for those tigres del Norte Okay work to do so Arizona tomorrow Friday November for my way happy Halloween So tomorrow Friday November 1st is the last day to vote early in person and If you are voting by mail and still have your ballot Please take it to any drop box in your county or any voting location by 7 p.m. On Tuesday November 5th and you can go to I will vote comm to get all the information you need and to all the leaders here Please help spread the word on that Okay, and we need you to vote Arizona because we have five days left In one of the most Consequential elections of our lifetime and we have work to do but we like hard work Hard work is good work Hard work is joyful work and make no mistake we will win And We will win because we know That it's very clear to all of us here when you know what you stand for you know what to fight for And we love our country and we love our country and we know in this election We have an opportunity to turn the page on a decade of Donald Trump trying to keep us divided and afraid of each other.",Donald Trump,Arizona
It's what he will do if Elected you can be sure he will bring back family separation policies Only on a much greater scale than last time and it is time then to turn the page on Donald Trump We are done So five days out and it all comes down to this we are here Together and you all have taken time out of all the demands on your life and your busy schedules You have taken the time to be here Because I know we all love our country.,Donald Trump,Arizona
"So let's approach it that way Let's approach it that way, we will be the stronger for it And Always remember your vote is your voice and your voice is your power So Arizona today I ask you are you ready to make your voices heard, do we believe in freedom Do we believe in opportunity Do we believe in the promise of America: proven leader a champion for all of Arizona and please send him to the United States Senate So it's so good to be back in Arizona and Phoenix are we ready to do this Oh It's good to be back and to be with so many incredible leaders, I love you back I Want to thank Governor Hobbs Senator Kelly Gabby Giffords Mayors Diego Romero and Giles ambassador Jeff Blake I am so grateful to all of you for your support and To all the tribal leaders the elected leaders community leaders here today And let's hear it again for those tigres del Norte Okay work to do so Arizona tomorrow Friday November for my way happy Halloween So tomorrow Friday November 1st is the last day to vote early in person and If you are voting by mail and still have your ballot Please take it to any drop box in your county or any voting location by 7 p.m. On Tuesday November 5th and you can go to I will vote comm to get all the information you need and to all the leaders here Please help spread the word on that Okay, and we need you to vote Arizona because we have five days left In one of the most Consequential elections of our lifetime and we have work to do but we like hard work Hard work is good work Hard work is joyful work and make no mistake we will win And we will win because We know that it's very clear to all of us here when you know what you stand for you know what to fight for And we love our country and we love our country and we know in this election We have an opportunity to turn the page on a decade of Donald Trump trying to keep us divided and afraid of each other.",Donald Trump,Arizona
"They're not they Okay Work to do so Arizona tomorrow Friday November, by the way happy Halloween So tomorrow Friday November 1st is the last day to vote early in person And if you are voting by mail and still have your ballot, please take it to any drop box in your county Or any voting location by 7 p.m. On Tuesday November 5th And you can go to I will vote comm to get all the information you need and to all the leaders here Please help spread the word on that And we need you to vote Arizona because we have five days left In one of the most Consequential elections of our lifetime and we have work to do but we like hard work Hard work is good work hard work is joyful work And make no mistake we will win And We will win because we know That it's very clear to all of us here when you know what you stand for you know what to fight for And we love our country and we love our country and we know in this election We have an opportunity to turn the page on a decade of Donald Trump trying to keep us divided and afraid of each other.",Donald Trump,Arizona
